Date,Open,High,Low,Close,Adj Close,Volume
1991-01-21,5.15625,5.21875,5.125,5.125,4.528844356536865,288800
1991-01-22,5.125,5.28125,5.125,5.28125,4.666917324066162,712800
1991-01-23,5.25,5.5,5.21875,5.46875,4.832606792449951,394800
1991-01-24,5.46875,5.8125,5.46875,5.78125,5.1087565422058105,860000
1991-01-25,5.71875,5.75,5.5625,5.625,4.970681667327881,382400
1991-01-28,5.65625,5.75,5.59375,5.59375,4.943066120147705,395200
1991-01-29,5.5625,5.5625,5.3125,5.34375,4.722146987915039,239600
1991-01-30,5.3125,5.5,5.3125,5.5,4.860222339630127,255200
1991-01-31,5.46875,5.46875,5.3125,5.375,4.749762058258057,333200
1991-02-01,5.375,5.40625,5.28125,5.40625,4.777376651763916,118800
1991-02-04,5.40625,5.53125,5.40625,5.53125,4.887836933135986,177600
1991-02-05,5.5,5.84375,5.5,5.8125,5.13637113571167,503600
1991-02-06,5.75,5.9375,5.71875,5.84375,5.163985252380371,570400
1991-02-07,5.84375,5.9375,5.8125,5.9375,5.246830940246582,582800
1991-02-08,5.875,5.875,5.6875,5.71875,5.053526401519775,358000
1991-02-11,5.65625,5.8125,5.65625,5.78125,5.1087565422058105,398800
1991-02-12,5.75,5.75,5.65625,5.65625,4.998297214508057,234400
1991-02-13,5.625,5.65625,5.53125,5.65625,4.998297214508057,142400
1991-02-14,5.65625,5.65625,5.5625,5.625,4.970681667327881,321200
1991-02-15,5.625,5.75,5.625,5.71875,5.053526401519775,618400
1991-02-19,5.65625,5.6875,5.5625,5.65625,4.998297214508057,96000
1991-02-20,5.65625,5.6875,5.5625,5.59375,4.943066120147705,190800
1991-02-21,5.625,5.625,5.4375,5.46875,4.832606792449951,66000
1991-02-22,5.40625,5.65625,5.40625,5.53125,4.887836933135986,150800
1991-02-25,5.625,5.65625,5.59375,5.625,4.970681667327881,186400
1991-02-26,5.5625,5.59375,5.5,5.59375,4.943066120147705,190800
1991-02-27,5.5625,5.71875,5.5625,5.71875,5.053526401519775,184400
1991-02-28,5.71875,5.71875,5.6875,5.71875,5.053526401519775,160400
1991-03-01,5.6875,5.71875,5.65625,5.71875,5.053526401519775,90400
1991-03-04,5.71875,5.75,5.59375,5.65625,4.998297214508057,224800
1991-03-05,5.8125,5.96875,5.8125,5.90625,5.219215393066406,1482800
1991-03-06,5.9375,5.96875,5.90625,5.9375,5.246830940246582,821200
1991-03-07,5.90625,5.9375,5.875,5.875,5.191600322723389,197600
1991-03-08,5.875,5.90625,5.84375,5.875,5.191600322723389,203200
1991-03-11,5.875,5.875,5.84375,5.84375,5.163985252380371,150000
1991-03-12,5.875,6.1875,5.875,6.0,5.302061080932617,737600
1991-03-13,6.125,6.21875,6.09375,6.1875,5.46774959564209,782400
1991-03-14,6.1875,6.1875,6.03125,6.0625,5.3572916984558105,235600
